Label_prediction,annotator1,annotator2
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
"KBLI Code Selection, Business Scope, and Licensing Advisory",TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Labor Force and Unemployment Statistics Data Requests,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
